#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
934	NM_001293190	chr1	-	45794913	45806142	45794977	45805926	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805890,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799236,45800183,45806142,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0,
934	NM_001293191	chr1	-	45794913	45805629	45794977	45800177	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805570,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799266,45800183,45805629,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,-1,
934	NM_001293192	chr1	-	45794913	45806142	45794977	45798984	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805890,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799169,45800183,45806142,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,-1,-1,-1,
934	NM_001293195	chr1	-	45794913	45805629	45794977	45800177	17	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45804178,45805570,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799233,45800183,45804328,45805629,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,-1,-1,
934	NM_001293196	chr1	-	45794913	45805788	45794977	45798984	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805647,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799169,45800183,45805788,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,-1,-1,-1,
934	NM_001350650	chr1	-	45794913	45806142	45794977	45798989	15	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798956,45799084,45800062,45805890,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798996,45799233,45800183,45806142,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,0,-1,-1,-1,
934	NM_001350651	chr1	-	45794913	45806142	45794977	45798989	15	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798956,45799084,45800062,45805890,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798996,45799169,45800183,45806142,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,0,-1,-1,-1,
228	NM_001354982	chr1	+	162601764	162757195	162688853	162750036	18	162601764,162625000,162688826,162722884,162724413,162724945,162725453,162729585,162731000,162735790,162737018,162740091,162741813,162743258,162745441,162745925,162748369,162749901,	162601883,162625164,162688935,162722987,162724645,162725093,162725559,162729769,162731244,162735853,162737149,162740302,162742037,162743386,162745633,162746160,162748519,162757195,	0	DDR2	cmpl	cmpl	-1,-1,0,1,2,0,1,2,0,1,1,0,1,0,2,2,0,0,
228	NM_001354983	chr1	+	162600652	162757195	162688853	162750036	18	162600652,162625000,162688826,162722884,162724413,162724945,162725453,162729585,162731000,162735790,162737018,162740091,162741813,162743258,162745441,162745925,162748369,162749901,	162601237,162625164,162688935,162722987,162724645,162725093,162725559,162729769,162731244,162735853,162737149,162740302,162742037,162743386,162745633,162746160,162748519,162757195,	0	DDR2	cmpl	cmpl	-1,-1,0,1,2,0,1,2,0,1,1,0,1,0,2,2,0,0,
1464	NM_002524	chr1	-	115247089	115259392	115251155	115258781	7	115247089,115250774,115251151,115252189,115256420,115258670,115259278,	115250671,115250813,115251275,115252349,115256599,115258798,115259392,	0	NRAS	cmpl	cmpl	-1,-1,0,2,0,0,-1,
1781	NM_002529	chr1	+	156830670	156851642	156830726	156851434	17	156830670,156834145,156834519,156836701,156837895,156838296,156841414,156843424,156844174,156844362,156844697,156845311,156845871,156846191,156848913,156849790,156851248,	156830938,156834220,156834591,156836770,156838041,156838439,156841547,156843751,156844192,156844418,156844800,156845458,156846002,156846364,156849154,156849949,156851642,	0	NTRK1	cmpl	cmpl	0,2,2,2,2,1,0,1,1,1,0,1,1,0,2,0,0,
228	NM_006182	chr1	+	162602253	162757195	162688853	162750036	18	162602253,162625000,162688826,162722884,162724413,162724945,162725453,162729585,162731000,162735790,162737018,162740091,162741813,162743258,162745441,162745925,162748369,162749901,	162602421,162625164,162688935,162722987,162724645,162725093,162725559,162729769,162731244,162735853,162737149,162740302,162742037,162743386,162745633,162746160,162748519,162757195,	0	DDR2	cmpl	cmpl	-1,-1,0,1,2,0,1,2,0,1,1,0,1,0,2,2,0,0,
934	NM_012222	chr1	-	45794913	45806142	45794977	45805926	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805890,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799266,45800183,45806142,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0,
934	NR_146882	chr1	-	45794913	45806142	45806142	45806142	17	45794913,45795560,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805890,	45795109,45795740,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799233,45800183,45806142,	0	MUTYH	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
934	NR_146883	chr1	-	45794913	45805787	45805787	45805787	16	45794913,45795560,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798956,45799084,45800062,45805647,	45795109,45795740,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798996,45799233,45800183,45805787,	0	MUTYH	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
951	NM_000179	chr2	+	48010283	48034092	48010372	48033999	10	48010283,48018065,48023032,48025749,48030558,48032048,48032756,48033342,48033590,48033917,	48010632,48018262,48023202,48028294,48030824,48032166,48032846,48033497,48033790,48034092,	0	MSH6	cmpl	cmpl	0,2,1,0,1,0,1,1,0,2,
118	NM_000251	chr2	+	47630294	47710362	47630330	47710088	16	47630294,47635539,47637232,47639552,47641407,47643434,47656880,47672686,47690169,47693796,47698103,47702163,47703505,47705410,47707834,47709917,	47630541,47635694,47637511,47639699,47641557,47643568,47657080,47672796,47690293,47693947,47698201,47702409,47703710,47705658,47708010,47710362,	0	MSH2	cmpl	cmpl	0,1,0,0,0,0,2,1,0,1,2,1,1,2,1,0,
2375	NM_000463	chr2	+	234668915	234681946	234668933	234681205	5	234668915,234675679,234676494,234676865,234680907,	234669797,234675811,234676582,234677085,234681946,	0	UGT1A1	cmpl	cmpl	0,0,0,1,2,
118	NM_001258281	chr2	+	47630205	47710367	47630528	47710088	17	47630205,47630498,47635539,47637232,47639552,47641407,47643434,47656880,47672686,47690169,47693796,47698103,47702163,47703505,47705410,47707834,47709917,	47630314,47630541,47635694,47637511,47639699,47641557,47643568,47657080,47672796,47690293,47693947,47698201,47702409,47703710,47705658,47708010,47710367,	0	MSH2	cmpl	cmpl	-1,0,1,0,0,0,0,2,1,0,1,2,1,1,2,1,0,
951	NM_001281492	chr2	+	48010220	48034092	48010372	48033999	8	48010220,48025749,48030558,48032048,48032756,48033342,48033590,48033917,	48010609,48028294,48030824,48032166,48032846,48033497,48033790,48034092,	0	MSH6	cmpl	cmpl	0,0,1,0,1,1,0,2,
951	NM_001281493	chr2	+	48010220	48034092	48026028	48033999	9	48010220,48018065,48025749,48030558,48032048,48032756,48033342,48033590,48033917,	48010632,48018262,48028294,48030824,48032166,48032846,48033497,48033790,48034092,	0	MSH6	cmpl	cmpl	-1,-1,0,1,0,1,1,0,2,
951	NM_001281494	chr2	+	48011093	48034092	48026028	48033999	10	48011093,48018065,48023032,48025753,48030558,48032048,48032756,48033342,48033590,48033917,	48011244,48018262,48023202,48028294,48030824,48032166,48032846,48033497,48033790,48034092,	0	MSH6	cmpl	cmpl	-1,-1,-1,0,1,0,1,1,0,2,
2180	NM_001282386	chr2	-	209100950	209119182	209101802	209116275	10	209100950,209103794,209104586,209106717,209108150,209110042,209113092,209116153,209118609,209119066,	209101893,209103957,209104727,209106869,209108328,209110148,209113384,209116291,209118683,209119182,	0	IDH1	cmpl	cmpl	2,1,1,2,1,0,2,0,-1,-1,
2180	NM_001282387	chr2	-	209100950	209119027	209101802	209116275	10	209100950,209103794,209104586,209106717,209108150,209110042,209113092,209116153,209118609,209118754,	209101893,209103957,209104727,209106869,209108328,209110148,209113384,209116291,209118683,209119027,	0	IDH1	cmpl	cmpl	2,1,1,2,1,0,2,0,-1,-1,
707	NM_001293228	chr2	+	16080671	16087125	16082186	16086219	3	16080671,16082069,16085614,	16081175,16082976,16087125,	0	MYCN	cmpl	cmpl	-1,0,1,
707	NM_001293231	chr2	+	16080671	16087125	16080708	16086219	2	16080671,16085614,	16080865,16087125,	0	MYCN	cmpl	cmpl	0,1,
707	NM_001293233	chr2	+	16080671	16087125	16080708	16082251	3	16080671,16082069,16085614,	16080865,16082976,16087125,	0	MYCN	cmpl	cmpl	0,1,-1,
809	NM_001353765	chr2	-	29415639	29446766	29416089	29446362	10	29415639,29419635,29420407,29430036,29432651,29436849,29443571,29445209,29445382,29446207,	29416788,29419726,29420542,29430138,29432744,29436947,29443701,29445274,29445473,29446766,	0	ALK	cmpl	cmpl	0,2,2,2,2,0,2,0,2,0,
101	NM_004304	chr2	-	29415639	30144452	29416089	30143525	29	29415639,29419635,29420407,29430036,29432651,29436849,29443571,29445209,29445382,29446207,29448326,29449787,29450439,29451749,29455169,29456430,29462545,29473970,29497964,29498267,29519753,29541169,29543616,29551215,29606597,29754780,29917715,29940443,30142858,	29416788,29419726,29420542,29430138,29432744,29436947,29443701,29445274,29445473,29446394,29448431,29449940,29450538,29451932,29455314,29456562,29462696,29474133,29498093,29498362,29519923,29541270,29543748,29551347,29606725,29754982,29917880,29940563,30144452,	0	ALK	cmpl	cmpl	0,2,2,2,2,0,2,0,2,1,1,1,1,1,0,0,2,1,1,2,0,1,1,1,2,1,1,1,0,
707	NM_005378	chr2	+	16080671	16087125	16082186	16086219	3	16080671,16082069,16085614,	16080865,16082976,16087125,	0	MYCN	cmpl	cmpl	-1,0,1,
2180	NM_005896	chr2	-	209100952	209119795	209101802	209116275	10	209100952,209103794,209104586,209106717,209108150,209110042,209113092,209116153,209118609,209119662,	209101893,209103957,209104727,209106869,209108328,209110148,209113384,209116291,209118683,209119795,	0	IDH1	cmpl	cmpl	2,1,1,2,1,0,2,0,-1,-1,
867	NM_000249	chr3	+	37035008	37092337	37035038	37092144	19	37035008,37038109,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035154,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	0,2,0,0,2,0,2,0,2,1,2,0,2,1,2,0,0,0,0,
899	NM_001098209	chr3	+	41240995	41281934	41265559	41280833	16	41240995,41265511,41266016,41266444,41266824,41267150,41268698,41274831,41275019,41275629,41277214,41277839,41278078,41279506,41280624,41281150,	41241161,41265572,41266244,41266698,41267063,41267352,41268843,41274935,41275358,41275788,41277334,41277990,41278200,41279567,41280845,41281934,	0	CTNNB1	cmpl	cmpl	-1,0,1,1,0,2,0,1,0,0,0,0,1,0,1,-1,
899	NM_001098210	chr3	+	41240995	41281934	41265559	41280833	16	41240995,41265511,41266016,41266444,41266824,41267150,41268698,41274831,41275019,41275629,41277214,41277839,41278078,41279506,41280624,41281309,	41241161,41265572,41266244,41266698,41267063,41267352,41268843,41274935,41275358,41275788,41277334,41277990,41278200,41279567,41280845,41281934,	0	CTNNB1	cmpl	cmpl	-1,0,1,1,0,2,0,1,0,0,0,0,1,0,1,-1,
867	NM_001167617	chr3	+	37034840	37092337	37042527	37092144	19	37034840,37038109,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035381,37038200,37042539,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,0,0,2,0,2,0,2,1,2,0,2,1,2,0,0,0,0,
867	NM_001167618	chr3	+	37034840	37092337	37055968	37092144	19	37034840,37038114,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035381,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,0,2,1,2,0,0,0,0,
867	NM_001167619	chr3	+	37034840	37092337	37055968	37092144	18	37034840,37038109,37042445,37045891,37048481,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035381,37038200,37042544,37045965,37048554,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,0,1,2,0,2,1,2,0,0,0,0,
867	NM_001258271	chr3	+	37034840	37092337	37035038	37092144	17	37034840,37038109,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37091976,	37035154,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37092337,	0	MLH1	cmpl	cmpl	0,2,0,0,2,0,2,0,2,1,2,0,2,1,2,0,0,
867	NM_001258273	chr3	+	37034840	37092337	37055968	37092144	18	37034840,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035154,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,0,1,2,0,2,1,2,0,0,0,0,
867	NM_001258274	chr3	+	37034840	37092337	37055968	37092144	20	37034840,37038109,37038646,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035381,37038200,37038791,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,0,2,1,2,0,0,0,0,
899	NM_001330729	chr3	+	41240995	41281934	41266024	41280833	17	41240995,41265511,41265680,41266016,41266444,41266824,41267150,41268698,41274831,41275019,41275629,41277214,41277839,41278078,41279506,41280624,41281150,	41241161,41265572,41265812,41266244,41266698,41267063,41267352,41268843,41274935,41275358,41275788,41277334,41277990,41278200,41279567,41280845,41281934,	0	CTNNB1	cmpl	cmpl	-1,-1,-1,0,1,0,2,0,1,0,0,0,0,1,0,1,-1,
867	NM_001354615	chr3	+	37034840	37092337	37055968	37092144	18	37034840,37038109,37042445,37045891,37048481,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035154,37038200,37042539,37045965,37048554,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,0,1,2,0,2,1,2,0,0,0,0,
867	NM_001354616	chr3	+	37034840	37092337	37055968	37092144	18	37034840,37038114,37042445,37045891,37048481,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035154,37038200,37042544,37045965,37048554,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,0,1,2,0,2,1,2,0,0,0,0,
867	NM_001354617	chr3	+	37034840	37092337	37055968	37092144	19	37034840,37038114,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035154,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,0,2,1,2,0,0,0,0,
867	NM_001354618	chr3	+	37034840	37092337	37055968	37092144	19	37034840,37038109,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035381,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,0,2,1,2,0,0,0,0,
867	NM_001354619	chr3	+	37034840	37092337	37055968	37092144	20	37034840,37036320,37038109,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035381,37036444,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,0,2,1,2,0,0,0,0,
867	NM_001354620	chr3	+	37034840	37092337	37042527	37092144	19	37034840,37038114,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035154,37038200,37042539,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,0,0,2,0,2,0,2,1,2,0,2,1,2,0,0,0,0,
867	NM_001354621	chr3	+	37034840	37092337	37061939	37092144	17	37034840,37038109,37042445,37045891,37048481,37050304,37053310,37053501,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035381,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,1,2,0,0,0,0,
867	NM_001354622	chr3	+	37034840	37092337	37061939	37092144	18	37034840,37038109,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035381,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,1,2,0,0,0,0,
867	NM_001354623	chr3	+	37034840	37092337	37061939	37092144	17	37034840,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035381,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,1,2,0,0,0,0,
867	NM_001354624	chr3	+	37034840	37092337	37067163	37092144	17	37034840,37038109,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035154,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,2,0,0,0,0,
867	NM_001354625	chr3	+	37034840	37092337	37067163	37092144	16	37034840,37038114,37042445,37045891,37048481,37053310,37053501,37055922,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035154,37038200,37042539,37045965,37048554,37053353,37053590,37056035,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,2,0,0,0,0,
867	NM_001354626	chr3	+	37034840	37092337	37067163	37092144	17	37034840,37038114,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035154,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,2,0,0,0,0,
867	NM_001354627	chr3	+	37034840	37092337	37067163	37092144	17	37034840,37038109,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035381,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,2,0,0,0,0,
867	NM_001354628	chr3	+	37034840	37092337	37035038	37092144	18	37034840,37038109,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090394,37091976,	37035154,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090508,37092337,	0	MLH1	cmpl	cmpl	0,2,0,0,2,0,2,0,2,1,2,0,2,1,2,0,0,0,
867	NM_001354629	chr3	+	37034840	37092337	37035038	37092144	18	37034840,37038109,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976,	37035154,37038200,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337,	0	MLH1	cmpl	cmpl	0,2,0,2,0,2,0,2,1,2,0,2,1,2,0,0,0,0,
